id,"context","question","answer"
"faq_10_0","Цалингийн зээл","Цалингийн зээл авахад ямар шалгуур тавих вэ?","Цалингийн зээлийг сүүлийн 6 сар ажил эрхэлсэн, үндсэн ажилтнаар ажиллаж буй гэрээт байгууллагын ажилтанд олгоно. Одоо ажиллаж буй байгууллагадаа шилжин ажиллахдаа үндсэн ажилтнаар орсон бол цалингийн зээл авч болно."
"faq_13_0","QPay үйлчилгээ","‘QPay үйлчилгээ’ гэж юу вэ?","ХасБанкны интернэт банкны харилцагч ухаалаг утсанд зориулсан “XacBank” аппликейшныг ашиглан QR /КЮ-АР/ кодыг уншуулан төлбөр төлөх, өөрийн дансандаа QR код үүсгэх буюу нэхэмжлэх үүсгэж дансандаа орлого хүлээн авах боломжтой үйлчилгээ юм."
"faq_13_1","QPay үйлчилгээ","Хэрхэн QPay үйлчилгээний хэрэглэгч болох вэ?","Та зөвхөн ХасБанкны интернэт банкны хэрэглэгч байхад л хангалттай бөгөөд мөн ухаалаг утсандаа XacBank аппликейшныг суулгасан байх шаардлагатай."
"faq_13_2","QPay үйлчилгээ","Хэн ашиглах боломжтой байх вэ?","QR унших боломж нь ХасБанк АПП дээр шинэ нэмэлт функц болж нэмэгдэнэ. Интернэт банкны үйлчилгээнд бүртгэлтэй бөгөөд гар утсандаа (ухаалаг) ХасБанк суулгасан харилцагч бүр нь энэхүү боломжийг ашиглах боломжтой байна."
"faq_13_3","QPay үйлчилгээ","Хэрхэн яаж ашиглах вэ, өөрөөр хэлбэл төлбөр төлөлт яаж хийх вэ?","QR уншиж төлбөр төлөх боломжтой харилцагч бүр нь QR код агуулсан төлбөрийн нэхэмжлэх эсхүл SIGN-ыг уншуулж гарч ирэх дэлгэрэнгүй задаргааг нягталсны дараа цааш нь гүйлгээ хийнэ."
"faq_13_4","QPay үйлчилгээ","QR ашиглан төлөхөд харилцагчийн төлөх шимтгэл хураамж:","Гүйлгээ нь интернэт банкны гүйлгээ интернэт банкны гүйлгээний шимтгэл хураамж тооцогдоно.Хэрвээ ХасБанкны харилцагч ХасБанкны үүсгэсэн эсхүл ХасБанкинд данстай бусдын үүсгэсэн мерчант руу гүйлгээ хийхэд гүйлгээний шимтгэл үгүй.ХасБанкны харилцагч бусад банкны үүсгэсэн эсхүл бусад банкны дансаа мерчантын дансаар сонгосон харилцагч руу гүйлгээ хийхэд банк хоорондын гүйлгээний шимтгэл тооцогдоно."
"faq_13?lang=mn_0","QPay үйлчилгээ","‘QPay үйлчилгээ’ гэж юу вэ?","ХасБанкны интернэт банкны харилцагч ухаалаг утсанд зориулсан “XacBank” аппликейшныг ашиглан QR /КЮ-АР/ кодыг уншуулан төлбөр төлөх, өөрийн дансандаа QR код үүсгэх буюу нэхэмжлэх үүсгэж дансандаа орлого хүлээн авах боломжтой үйлчилгээ юм."
"faq_13?lang=mn_1","QPay үйлчилгээ","Хэрхэн QPay үйлчилгээний хэрэглэгч болох вэ?","Та зөвхөн ХасБанкны интернэт банкны хэрэглэгч байхад л хангалттай бөгөөд мөн ухаалаг утсандаа XacBank аппликейшныг суулгасан байх шаардлагатай."
"faq_13?lang=mn_2","QPay үйлчилгээ","Хэн ашиглах боломжтой байх вэ?","QR унших боломж нь ХасБанк АПП дээр шинэ нэмэлт функц болж нэмэгдэнэ. Интернэт банкны үйлчилгээнд бүртгэлтэй бөгөөд гар утсандаа (ухаалаг) ХасБанк суулгасан харилцагч бүр нь энэхүү боломжийг ашиглах боломжтой байна."
"faq_13?lang=mn_3","QPay үйлчилгээ","Хэрхэн яаж ашиглах вэ, өөрөөр хэлбэл төлбөр төлөлт яаж хийх вэ?","QR уншиж төлбөр төлөх боломжтой харилцагч бүр нь QR код агуулсан төлбөрийн нэхэмжлэх эсхүл SIGN-ыг уншуулж гарч ирэх дэлгэрэнгүй задаргааг нягталсны дараа цааш нь гүйлгээ хийнэ."
"faq_13?lang=mn_4","QPay үйлчилгээ","QR ашиглан төлөхөд харилцагчийн төлөх шимтгэл хураамж:","Гүйлгээ нь интернэт банкны гүйлгээ интернэт банкны гүйлгээний шимтгэл хураамж тооцогдоно.Хэрвээ ХасБанкны харилцагч ХасБанкны үүсгэсэн эсхүл ХасБанкинд данстай бусдын үүсгэсэн мерчант руу гүйлгээ хийхэд гүйлгээний шимтгэл үгүй.ХасБанкны харилцагч бусад банкны үүсгэсэн эсхүл бусад банкны дансаа мерчантын дансаар сонгосон харилцагч руу гүйлгээ хийхэд банк хоорондын гүйлгээний шимтгэл тооцогдоно."
"faq_14_0","Карт","Картаа гээж, үрэгдүүлсэн тохиолдолд хэнд хандах вэ?","ХасБанкны Харилцагчийн Үйлчилгээний Төвийн 1800-1888 дугаарын утсанд хандаж картаа хаалгаарай. Таны картыг түр хаах бөгөөд картаа олсон бол карт, бичиг баримтын хамт ХасБанкны өөрт аль ойр байрлах салбар, тооцооны төвд биечлэн хүсэлт гаргаж картаа нээлгэнэ.Та шинээр карт захиалах бол салбар, тооцооны төвд бичиг баримттайгаа очиж картаа захиалаарай.Картаа үрэгдүүлсэн, гээсэн даруй Банкинд мэдэгдээгүйгээс ямар нэгэн луйврын гүйлгээ гарсан бол хариуцлагыг Карт эзэмшигч бүрэн хүлээнэ."
"faq_14_1","Карт","Картын пин кодоо мартсан тохиолдолд яах вэ?","Та төлбөрийн картынхаа пин кодыг мартсан эсхүл блоклосон бол дижитал банкны карт цэсээр орж, картаа сонгоод “пин солих” гэсэн үйлдлийг ашиглаж пин кодоо шинээр үүсгээрэй. Хэрэв та дижитал банканд бүртгэлгүй болЭНДдарж бүртгүүлнэ үү.Пин солих видео заавар үзэх болЭНДдарна уу."
"faq_14_2","Карт","Интернэт худалдан авалт яаж хийх вэ?","ХасБанкны АТМ төхөөрөмжөөс интернэт код авна (шимтгэлгүй). Интернэт худалдаа, үйлчилгээний цахим хуудас руу хандаж картын нууцлалын тэмдэгтүүд болох дараах мэдээллүүдийг оруулна. Эдгээр мэдээллүүд нь картын нууцлалын тэмдэгтүүд тул та бусдад мэдэгдэхгүйн тулд нууцлана уу.Картын пластикийн нүүрэн хэсэгт байрлах 16 оронтой тоо;Картын хүчинтэй хугацаа;АТМ-ээс авсан интернэт код;Картын пластикийн арын хэсэгт гарын үсгийн ард залгаа байрлах 3 оронтой CVV2 код."
"faq_14_3","Карт","АТМ-с нэг удаадаа хэдэн төгрөг гардаг вэ?","Монгол улсад АТМ-р хийх нэг удаагийн гарах гүйлгээ 40 дэвсгэртээр хязгаарлагддаг. Харин гадаадад банкнаасаа шалтгаалаад нэг удаагийн гүйлгээний лимит ялгаатай болохыг анхаарна уу."
"faq_14_4","Карт","Картаар хийх өдрийн лимит хэд байдаг вэ?","Картаар хийх өдрийн лимит нь карт бүрээрээ өөр өөр байдаг.Картын төрөлӨдөрт зарлагадах бэлэн мөнгөний дээд хязгаарХудалдан авалтын гүйлгээний дээд хязгаарFIFA World Cup Qatar 2022 Виза карт10,000,000 төг10,000,000 төг₮ болон ЮнионПэй хослосон карт5,000,000 төг5,000,000 төгВиза карт5,000,000 төг5,000,000 төгПлатинум карт (Виза, ЮнионПэй)20,000,000 төг20,000,000 төгТэмүүлэл карт250,000 төг1,000,000 төгКредит картКредит картын лимитийн 30%Кредит картын лимитээр"
"faq_15_0","ХасИнфо","ХасИнфо үйлчилгээнд хэрхэн бүртгүүлэх вэ?","Та:Өөрт ойр байрлах ХасБанкны салбар, тооцооны төвд иргэний үнэмлэхээтэйгээ,ХасБанкны лавлах утас 1800-1888 тусгай дугаарт холбогдсоноор мөн бүртгүүлэх боломжтой,Интернэт банкаараа нэвтрэн орж бүртгүүлэх боломжтой."
"faq_15_1","ХасИнфо","ХасИнфо үйлчилгээ хураамжтай юу?","Зөвхөн гар утсанд мессежээр мэдээлэл хүлээн авахад 50 төгрөг;Зөвхөн имэйл хаягаараа гүйлгээний мэдээлэл хүлээн авахад 0 төгрөг;Мессеж болон имэйлээр гүйлгээний мэдээллийг хүлээн авахад 50 төгрөгийн шимтгэлтэй."
"faq_15_2","ХасИнфо","Гадаад валютын дансыг ХасИнфо үйлчилгээнд холбох боломжтой юу?","MNT, USD болон Юань-ы дансуудыг холбох боломжтой. USD болон Юань дансны хувьд мэдэгдэл хүргэх доод дүн нь 1 USD болон 1Юань байгаа болно."
"faq_15?lang=mn_0","ХасИнфо","ХасИнфо үйлчилгээнд хэрхэн бүртгүүлэх вэ?","Та:Өөрт ойр байрлах ХасБанкны салбар, тооцооны төвд иргэний үнэмлэхээтэйгээ,ХасБанкны лавлах утас 1800-1888 тусгай дугаарт холбогдсоноор мөн бүртгүүлэх боломжтой,Интернэт банкаараа нэвтрэн орж бүртгүүлэх боломжтой."
"faq_15?lang=mn_1","ХасИнфо","ХасИнфо үйлчилгээ хураамжтай юу?","Зөвхөн гар утсанд мессежээр мэдээлэл хүлээн авахад 50 төгрөг;Зөвхөн имэйл хаягаараа гүйлгээний мэдээлэл хүлээн авахад 0 төгрөг;Мессеж болон имэйлээр гүйлгээний мэдээллийг хүлээн авахад 50 төгрөгийн шимтгэлтэй."
"faq_15?lang=mn_2","ХасИнфо","Гадаад валютын дансыг ХасИнфо үйлчилгээнд холбох боломжтой юу?","MNT, USD болон Юань-ы дансуудыг холбох боломжтой. USD болон Юань дансны хувьд мэдэгдэл хүргэх доод дүн нь 1 USD болон 1Юань байгаа болно."
