url,question,context,answer
https://www.xacbank.mn/product/1,Давуу тал:,Цалингийн зээл,"Хурдан шуурхай шийдвэрлэн олгодог..
Зээлийн хугацаанд нэмэлт санхүүжилтээр зээлийн хэмжээг нэмэгдүүлдэг.."
https://www.xacbank.mn/product/1,Бүтээгдэхүүний нөхцөл,Цалингийн зээл,"Зээлийн хэмжээ, 300,000 - 50,000,000 төгрөг, 300,000 төгрөгөөс дээш
Зээлийн хүү*, Сарын, 1.5%-1.9%, 1.5% - 1.8%
Жилийн, 18.0%-22.8%, 18.0% - 21.6%**
Зээлийн хугацаа, 30 сар
Үйлчилгээний шимтгэл, 0.5%, 1%"
https://www.xacbank.mn/product/1,Тавигдах шаардлага:,Цалингийн зээл,"Хуулийн этгээдэд 6 сараас доошгүй хугацаанд ажилласан, үндсэн ажилтан байх..
Зээлийн муу түүхгүй байх.."
https://www.xacbank.mn/product/1,Бүрдүүлэх материал:,Цалингийн зээл,"Хэрэглээний зээлийн өргөдөл (ХасБанкны салбараас эсхүлэнд даржтатаж авна уу)..
3х4 хэмжээний цээж зураг..
Иргэний үнэмлэх, түүний хуулбар..
Ажил олгогчийн тодорхойлолт..
Банкны зүгээс шаардлагатай гэж үзсэн бусад нэмэлт материал.."
https://www.xacbank.mn/product/102,Зээлийн нөхцөл:,Хүлэмжийн хийг бууруулах зорилгоор олгогдох бизнесийн зээл,"Зээлийн хүү, Бизнес эрхлэгчдэд, 1.25%, 15.00%, 0.85%, 10.20%, 1%, 0.5%
Зээлийн хугацаа, 5 хүртэл жил
Зээлийн нэмэлт шалгуур, 20% болон түүнээс дээш хувиар эрчим хүчийг хэмнэх эсхүл хүлэмжийн хийн ялгарлыг бууруулснаа баталгаажуулсан байх"
https://www.xacbank.mn/product/102,"Барьцаа, нөхцөл:",Хүлэмжийн хийг бууруулах зорилгоор олгогдох бизнесийн зээл,"Үл хөдлөх болон хөдлөх хөрөнгө, бусад..
Үндсэн төлбөрөөс чөлөөлөгдөх хугацаа 12 сар хүртэл.."
https://www.xacbank.mn/product/102,Бүрдүүлэх материал:,Хүлэмжийн хийг бууруулах зорилгоор олгогдох бизнесийн зээл,"ХасБанкны маягтын дагуу анкет..
Бизнесийн танилцуулга..
Хуулийн этгээдийн гэрчилгээ, дүрэм, үүсгэн байгуулсан гэрээ..
Санхүүгийн тайлан /1-2жил/..
Бизнесийн үйл ажиллагааны зөвшөөрөл, лиценз, патент..
Хүлэмжийн хийн ялгарал эсхүл эрчим хүчийг 20-с доошгүй хувиар бууруулж буйг баталсан сертификат эсхүл лабораторийн дүгнэлт зэрэг бичиг баримт /Зөвхөн тодорхой нэр төрлийн бүтээгдэхүүний хувьд*/..
Бусад банк санхүүгийн байгууллагаас авч байсан сүүлийн зээлийн түүх..
Зээлээр санхүүжүүлэх үйл ажиллагаатай холбоотой гэрээ хэлцэл..
Барьцаа хөрөнгөтэй холбоотой бичиг баримтууд..
Бусад.."
https://www.xacbank.mn/product/104,Төслийн зорилго:,"“ЖАЙКА” жижиг дунд үйлдвэрлэлийг дэмжих, байгаль орчныг хамгаалах II үе шаттай төсөл","Жижиг дунд үйлдвэрлэлийг дэмжих, байгаль орчныг хамгаалах, ядуурлыг бууруулахад зориулж 100 хувь үндсэн хөрөнгө санхүүжүүлнэ.
No link found. Check URL: https://www.xacbank.mn/product/104"
https://www.xacbank.mn/product/104,Зээлийн нөхцөл:,"“ЖАЙКА” жижиг дунд үйлдвэрлэлийг дэмжих, байгаль орчныг хамгаалах II үе шаттай төсөл","Зээлийн хэмжээ, 50,000,000 – 800,000,000 төгрөгтэй тэнцэх ам.доллар, 50,000,000 – 800,000,000 төгрөг
Зээлийн хүү /жилийн/, 10.27%, 7%
Зээлийн шимтгэл, 0.5%, 1%
Зээлийн хугацаа, 3-10 жил
Үндсэн төлбөрөөс чөлөөлөх хугацаа, 1-3 жил
Бусад, Банкны ерөнхий нөхцөл"
https://www.xacbank.mn/product/104,Тавигдах шаардага:,"“ЖАЙКА” жижиг дунд үйлдвэрлэлийг дэмжих, байгаль орчныг хамгаалах II үе шаттай төсөл","Төсөлтэй байх..
Нийт төслийн өртгийн 20%-г өөрөө санхүүжүүлэх..
Хөрөнгө оруулалтын өгөөж 13%-с өндөр байх..
Өрийн харьцаа 1.3-с их байх..
Байгаль орчны үнэлгээ хийлгэж дүгнэлт авсан байх..
20 сая төгрөгийн зээл тутамд 1 ажлын байр нэмэгдүүлэх..
Зээлийн муу түүхгүй байх.•Банкны шалгуурыг хангасан байх..
Зугаа цэнгэл, архи тамхи, цэрэг байлдаан, цөмийн үйл ажиллагаа дэмжихгүй..
Нийт ажилчдын тоо үйлдвэрлэлийн салбар бол 200-с хэтрэхгүй, үйлчилгээний салбар 50-с хэтрэхгүй..
Монгол талын хувийн өмч 51%-с дээш байх..
Банкны бусад шаардлага.."
